"ds0.Instrument Unit","ds0.RunId","ds0.Barcode","ds0.Row","ds2..spotRow","ds2..spotCol","ds0.Exposure Time","ds0.Cycle","ds1.ID","js0.UniprotAccession","ds3.Median_SigmBg","ds3.Signal_Saturation"
"unit07080061","439e6e3af1ecd3ba8638cb9975FE22B1EB97","710421621",1.0,3.0,6.0,50.0,124.0,"LMNB1_16_28","P20700",5.0,0.0
"unit07080061","439e6e3af1ecd3ba8638cb9975FE22B1EB97","710421621",1.0,3.0,6.0,100.0,124.0,"LMNB1_16_28","P20700",15.0,0.0
"unit07080061","439e6e3af1ecd3ba8638cb9975FE22B1EB97","710421621",1.0,3.0,7.0,5.0,124.0,"NEK2_172_184","P51955",0.0,0.0
"unit07080061","439e6e3af1ecd3ba8638cb9975FE22B1EB97","710421621",1.0,3.0,7.0,10.0,124.0,"NEK2_172_184","P51955",2.0,0.0
"unit07080061","439e6e3af1ecd3ba8638cb9975FE22B1EB97","710421621",1.0,3.0,7.0,25.0,124.0,"NEK2_172_184","P51955",6.0,0.0
"unit07080061","439e6e3af1ecd3ba8638cb9975FE22B1EB97","710421621",1.0,3.0,7.0,50.0,124.0,"NEK2_172_184","P51955",12.0,0.0
"unit07080061","439e6e3af1ecd3ba8638cb9975FE22B1EB97","710421621",1.0,3.0,7.0,100.0,124.0,"NEK2_172_184","P51955",23.0,0.0
"unit07080061","439e6e3af1ecd3ba8638cb9975FE22B1EB97","710421621",1.0,3.0,8.0,5.0,124.0,"PPR1A_28_40","Q13522",3.0,0.0
"unit07080061","439e6e3af1ecd3ba8638cb9975FE22B1EB97","710421621",1.0,3.0,8.0,10.0,124.0,"PPR1A_28_40","Q13522",9.0,0.0
"unit07080061","439e6e3af1ecd3ba8638cb9975FE22B1EB97","710421621",1.0,3.0,8.0,25.0,124.0,"PPR1A_28_40","Q13522",28.0,0.0
"unit07080061","439e6e3af1ecd3ba8638cb9975FE22B1EB97","710421621",1.0,3.0,8.0,50.0,124.0,"PPR1A_28_40","Q13522",53.0,0.0
"unit07080061","439e6e3af1ecd3ba8638cb9975FE22B1EB97","710421621",1.0,3.0,8.0,100.0,124.0,"PPR1A_28_40","Q13522",108.0,0.0
"unit07080061","439e6e3af1ecd3ba8638cb9975FE22B1EB97","710421621",1.0,3.0,9.0,5.0,124.0,"RBL2_959_971","Q08999",0.0,0.0
"unit07080061","439e6e3af1ecd3ba8638cb9975FE22B1EB97","710421621",1.0,3.0,9.0,10.0,124.0,"RBL2_959_971","Q08999",1.0,0.0
